ABAM,Abies amabilis,Pacific silver fir
CHTH2,Chamaecyparis thyoides,Atlantic white cedar
CHCA2,Chamaedaphne calyculata,leatherleaf
CHAN9,Chamerion angustifolium,fireweed
CHLA5,Chasmanthium latifolium,Indian woodoats
CHOA,Chenopodium oahuense,alaweo
CHLI2,Chilopsis linearis,desert willow
CHCU2,Chloris cucullata,hooded windmill grass
CHVE2,Chloris verticillata,tumble windmill grass
CHPO3,Chlorogalum pomeridianum,wavyleaf soap plant
CHJU,Chondrilla juncea,rush skeletonweed
CHVI8,Chrysothamnus viscidiflorus,yellow rabbitbrush
CIDI,Cirsium discolor,field thistle
CLAM,Clarkia amoena,farewell to spring
CLFR,Clematis fremontii,Fremont's leather flower
CLLI2,Clematis ligusticifolia,western white clematis
CLIS,Cleome isomeris,bladderpod spiderflower
CLLU2,Cleome lutea,yellow spiderflower
CLAL3,Clethra alnifolia,coastal sweetpepperbush
COCY,Coelorachis cylindrica,cylinder jointtail grass
COES,Colocasia esculenta,coco yam
COER,Commelina erecta,whitemouth dayflower
COERA,Commelina erecta,whitemouth dayflower
COPE80,Comptonia peregrina,sweet fern
COCO13,Conoclinium coelestinum,blue mistflower
COCA5,Conyza canadensis,Canadian horseweed
COLA5,Coreopsis lanceolata,lanceleaf tickseed
COTI3,Coreopsis tinctoria,golden tickseed
COAM2,Cornus amomum,silky dogwood
COFL2,Cornus florida,flowering dogwood
COFO,Cornus foemina,stiff dogwood
CORA6,Cornus racemosa,gray dogwood
COSE16,Cornus sericea,redosier dogwood
COSEO,Cornus sericea,western dogwood
COSES,Cornus sericea,redosier dogwood
COAM3,Corylus americana,American hazelnut
COCO6,Corylus cornuta,beaked hazelnut
COCOC,Corylus cornuta,California hazelnut
COIN16,Cotoneaster integerrimus,cotoneaster
CRAE,Crataegus aestivalis,may hawthorn
CRAN6,Crataegus anomala,Arnold hawthorn
CRBE2,Crataegus berberifolia,barberry hawthorn
CRBR3,Crataegus brainerdii,Brainerd's hawthorn
CRCA,Crataegus calpodendron,pear hawthorn
CRCH,Crataegus chrysocarpa,fireberry hawthorn
CRCO2,Crataegus coccinioides,Kansas hawthorn
CRCR2,Crataegus crus-galli,cockspur hawthorn
CRDO2,Crataegus douglasii,black hawthorn
CRER,Crataegus erythropoda,cerro hawthorn
CRFL,Crataegus flabellata,fanleaf hawthorn
CRFL2,Crataegus flava,yellowleaf hawthorn
CRIN3,Crataegus intricata,Copenhagen hawthorn
CROP,Crataegus opaca,western mayhaw
CRAC2,Crepis acuminata,tapertip hawksbeard
CRIN4,Crepis intermedia,limestone hawksbeard
CRJU,Crotalaria juncea,sunn hemp
CTAR,Ctenium aromaticum,toothache grass
CYHUJ,Cycladenia humilis,Jones' waxydogbane
CYACA2,Cylindropuntia acanthocarpa,buckhorn cholla
OPAC,Opuntia acanthocarpa,
CYDA,Cynodon dactylon,Bermudagrass
CYER,Cyperus eragrostis,tall flatsedge
CYRO,Cyperus rotundus,nutgrass
DAGL,Dactylis glomerata,orchardgrass
DACA7,Dalea candida,white prairie clover
DAOR2,Dalea ornata,Blue Mountain prairie clover
DAPU5,Dalea purpurea,purple prairie clover
DAPUP,Dalea purpurea,purple prairie clover
DASE3,Dalea searlsiae,Searls' prairie clover
DAVI,Dalea villosa,silky prairie clover
DACA3,Danthonia californica,California oatgrass
DAPU3,Daucus pusillus,American wild carrot
DECE,Deschampsia cespitosa,tufted hairgrass
DECA18,Deschampsia caespitosa,
DEDA,Deschampsia danthonioides,annual hairgrass
DEEL,Deschampsia elongata,slender hairgrass
DEIL,Desmanthus illinoensis,Illinois bundleflower
DEVE2,Desmanthus velutinus,velvet bundleflower
DEVI3,Desmanthus virgatus,wild tantan
DECA7,Desmodium canadense,showy ticktrefoil
DECI,Desmodium ciliare,hairy small-leaf ticktrefoil
DEGL4,Desmodium glabellum,Dillenius' ticktrefoil
DEPA6,Desmodium paniculatum,panicledleaf ticktrefoil
DETR4,Desmodium triflorum,threeflower ticktrefoil
DICL,Dichanthelium clandestinum,deertongue
DIOLS,Dichanthelium oligosanthes,Scribner's rosette grass
PASC5,Panicum scribnerianum,
DISC3,Dichanthelium scoparium,velvet panicum
DICA14,Dichelostemma capitatum,bluedicks
DICAC5,Dichelostemma capitatum,bluedicks
DICAP,Dichelostemma capitatum,bluedicks
DICA8,Digitaria californica,Arizona cottontop
DICO6,Digitaria cognata,fall witchgrass
DIVI5,Diospyros virginiana,common persimmon
DISP,Distichlis spicata,saltgrass
DOVI,Dodonaea viscosa,Florida hopbush
DRAM,Dracopis amplexicaulis,clasping coneflower
ECAN2,Echinacea angustifolia,blacksamson echinacea
ECPA,Echinacea pallida,pale purple coneflower
ECPU,Echinacea purpurea,eastern purple coneflower
ECSA,Echinacea sanguinea,sanguine purple coneflower
ECES,Echinochloa esculenta,Japanese millet
ECFR,Echinochloa frumentacea,billion-dollar grass
ECCO3,Echinodorus cordifolius,creeping burhead
ECVU,Echium vulgare,common viper's bugloss
ELCO,Elaeagnus commutata,silverberry
ELPA3,Eleocharis palustris,common spikerush
ELCA4,Elymus canadensis,Canada wildrye
ELDA3,Elymus dahuricus,Dahurian wild rye
ELEL5,Elymus elymoides,squirreltail
ELELB2,Elymus elymoides,squirreltail
ELGL3,Elymus glabriflorus,southeastern wildrye
ELGL,Elymus glaucus,blue wildrye
ELHO3,Elymus hoffmannii,RS wheatgrass
ELLA3,Elymus lanceolatus,thickspike wheatgrass
ELLAL,Elymus lanceolatus,thickspike wheatgrass
ELLAP,Elymus lanceolatus,Great Lakes wheatgrass
ELMU3,Elymus multisetus,big squirreltail
ELTR7,Elymus trachycaulus,slender wheatgrass
ELTRT,Elymus trachycaulus,slender wheatgrass
ELVI3,Elymus virginicus,Virginia wildrye
ELWA2,Elymus wawawaiensis,Snake River wheatgrass
ENVI,Encelia virginensis,Virgin River brittlebush
ENPE4,Engelmannia peristenia,Engelmann's daisy
EPNE,Ephedra nevadensis,Nevada jointfir
EPVI,Ephedra viridis,mormon tea
EPCA3,Epilobium canum,hummingbird trumpet
ERCU2,Eragrostis curvula,weeping lovegrass
ERIN,Eragrostis intermedia,plains lovegrass
ERSEO,Eragrostis secundiflora,red lovegrass
ERSP,Eragrostis spectabilis,purple lovegrass
ERSP2,Eragrostis spicata,spike lovegrass
ERTR3,Eragrostis trichodes,sand lovegrass
ERVA,Eragrostis variabilis,kawelu
ERNA10,Ericameria nauseosa,rubber rabbitbrush
ERMA8,Erigeron maguirei,Maguire's fleabane
ERPH,Erigeron philadelphicus,Philadelphia fleabane
ERSE5,Eriochloa sericea,Texas cupgrass
ERCA6,Eriodictyon californicum,California yerba santa
ERCON,Eriogonum corymbosum,Las Vegas wild buckwheat
ERFA2,Eriogonum fasciculatum,Eastern Mojave buckwheat
ERHE2,Eriogonum heracleoides,parsnipflower buckwheat
ERNI2,Eriogonum niveum,snow buckwheat
ERNU3,Eriogonum nudum,naked buckwheat
ERPE10,Eriogonum pelinophilum,clay-loving buckwheat
ERSO2,Eriogonum soredium,Frisco buckwheat
ERUM,Eriogonum umbellatum,sulphur-flower buckwheat
ERLA6,Eriophyllum lanatum,common woolly sunflower
ERAQ,Eryngium aquaticum,rattlesnakemaster
ERYU,Eryngium yuccifolium,button eryngo
ESCA2,Eschscholzia californica,California poppy
EUAM9,Euonymus americanus,bursting-heart
EUAM7,Euonymus americana,
EUBU5,Euonymus bungeanus,winterberry euonymus
EUBU6,Euonymus bungeanum,
EUPE3,Eupatorium perfoliatum,common boneset
EUES,Euphorbia esula,leafy spurge
EUGL5,Eustachys glauca,saltmarsh fingergrass
EUGR5,Euthamia graminifolia,flat-top goldentop
EUPE10,Eutrema penlandii,Penland's eutrema
EUFI14,Eutrochium fistulosum,trumpetweed
EUFI2,Eupatoriadelphus fistulosus,
EUMAM4,Eutrochium maculatum,spotted joe pye weed
EUMAM3,Eupatoriadelphus maculatus,
EYTE,Eysenhardtia texana,Texas kidneywood
FAES2,Fagopyrum esculentum,buckwheat
FEAM5,Festuca ammobia,sand fescue
FEAR2,Festuca arizonica,Arizona fescue
FEBR7,Festuca brevipila,hard fescue
FETR3,Festuca trachyphylla,
FECA,Festuca californica,California fescue
FECA4,Festuca campestris,rough fescue
FEID,Festuca idahoensis,Idaho fescue
FEIDR2,Festuca idahoensis,Roemer's fescue
FERO,Festuca roemeri,
FEOV,Festuca ovina,sheep fescue
FERU2,Festuca rubra,red fescue
FERUA3,Festuca rubra,red fescue
FOPU2,Forestiera pubescens,stretchberry
FRCH,Fragaria chiloensis,beach strawberry
FRCHC,Fragaria chiloensis,beach strawberry
FRCHL,Fragaria chiloensis,beach strawberry
FRCHP,Fragaria chiloensis,Pacific beach strawberry
FRCHS2,Fragaria chiloensis,Sandwich beach strawberry
FRVE,Fragaria vesca,woodland strawberry
FRVI,Fragaria virginiana,Virginia strawberry
FRCA12,Frangula californica,California buckthorn
FRAM2,Fraxinus americana,white ash
FRNI,Fraxinus nigra,black ash
FRPE,Fraxinus pennsylvanica,green ash
FRCA6,Fremontodendron californicum,California flannelbush
FRAF2,Fritillaria affinis,checker lily
FRCA5,Fritillaria camschatcensis,Kamchatka fritillary
GAAR,Gaillardia aristata,blanketflower
GEVI2,Geranium viscosissimum,sticky purple geranium
GINKG,Ginkgo Glaucocarpum,Uinta Basin waxfruit
GLSU,Glaucocarpum suffrutescens,Uinta Basin waxfruit
GLHE2,Glechoma hederacea,ground ivy
GLTR,Gleditsia triacanthos,honeylocust
GLLE2,Glyceria leptostachya,davy mannagrass
GLOC,Glyceria occidentalis,northwestern mannagrass
GLST,Glyceria striata,fowl mannagrass
GLEL,Glyceria elata,
GLLE3,Glycyrrhiza lepidota,American licorice
GOPU,Goodyera pubescens,downy rattlesnake plantain
GRCA,Grindelia camporum,Great Valley gumweed
GRIN,Grindelia integrifolia,Puget Sound gumweed
GRSQ,Grindelia squarrosa,curlycup gumweed
GUSA2,Gutierrezia sarothrae,broom snakeweed
GYDI,Gymnocladus dioicus,Kentucky coffeetree
HAGL,Halogeton glomeratus,saltlover
HEBO,Hedysarum boreale,Utah sweetvetch
HEUN,Helianthella uniflora,oneflower helianthella
HEAN3,Helianthus annuus,common sunflower
HEDED,Helianthus debilis,cucumberleaf sunflower
HEMA2,Helianthus maximiliani,Maximilian sunflower
HEMO2,Helianthus mollis,ashy sunflower
HEPA19,Helianthus pauciflorus,stiff sunflower
HEMU3,Heliomeris multiflora,showy goldeneye
HEHE5,Heliopsis helianthoides,smooth oxeye
HEHES,Heliopsis helianthoides,smooth oxeye
HEIN,Heliotropium indicum,Indian heliotrope
HEFA,Hemizonia fasciculata,clustered tarweed
HEAR22,Hesperocyparis arizonica,Arizona cypress
CUAR,Cupressus arizonica,
HECO26,Hesperostipa comata,needle and thread
HECOC8,Hesperostipa comata,needle and thread
HEWH,Hesperoyucca whipplei,chaparral yucca
YUWH,Yucca whipplei,
HEAR5,Heteromeles arbutifolia,toyon
HECO10,Heteropogon contortus,tanglehead
HIHIA,Hierochloe hirta,northern sweetgrass
HIOD,Hierochloe odorata,sweetgrass
HIBE,Hilaria belangeri,curly-mesquite
HODI,Holodiscus discolor,oceanspray
HOBR2,Hordeum brachyantherum,meadow barley
HOVU,Hordeum vulgare,common barley
HOAQ,Howellia aquatilis,water howellia
HUTO,Hudsonia tomentosa,woolly beachheather
HYCA,Hydrastis canadensis,goldenseal
HYOV,Hydrolea ovata,ovate false fiddleleaf
HYHYH,Hypericum hypericoides,St. Andrew's cross
HYPE,Hypericum perforatum,common St. Johnswort
ILGL,Ilex glabra,inkberry
ILOP,Ilex opaca,American holly
ILVE,Ilex verticillata,common winterberry
ILVO,Ilex vomitoria,yaupon
INMI,Indigofera miniata,coastal indigo
INMIL,Indigofera miniata,
INBI,Intsia bijuga,ifil
IPLE,Ipomoea leptophylla,bush morning-glory
IPAG,Ipomopsis aggregata,scarlet gilia
IRDO,Iris douglasiana,Douglas iris
IRFE,Iris fernaldii,Fernald's iris
IRMA,Iris macrosiphon,bowltube iris
IRMI,Iris missouriensis,Rocky Mountain iris
IRPS,Iris pseudacorus,paleyellow iris
IRPU,Iris purdyi,Purdy's iris
IRVE2,Iris versicolor,harlequin blueflag
IRVI,Iris virginica,Virginia iris
IVFR,Iva frutescens,Jesuit's bark
JUCI,Juglans cinerea,butternut
JUMI,Juglans microcarpa,little walnut
JUNI,Juglans nigra,black walnut
JUARL,Juncus arcticus,mountain rush
JUBA,Juncus balticus,
JUEF,Juncus effusus,common rush
JULE,Juncus lesueurii,salt rush
JURO,Juncus roemerianus,needlegrass rush
JUTE,Juncus tenuis,poverty rush
JUTE2,Juncus textilis,basket rush
JUCO12,Juniperus conferta,shore juniper
JUPI,Juniperus pinchotii,Pinchot's juniper
JUSC2,Juniperus scopulorum,Rocky Mountain juniper
JUVI,Juniperus virginiana,eastern redcedar
KOMA,Koeleria macrantha,prairie Junegrass
KRLA2,Krascheninnikovia lanata,winterfat
KUST,Kummerowia stipulacea,Korean clover
KUST2,Kummerowia striata,Japanese clover
LAPU6,Lablab purpureus,hyacinthbean
LAIN,Lagerstroemia indica,crapemyrtle
LAAM,Lamium amplexicaule,henbit deadnettle
LALA,Larix laricina,tamarack
LALA4,Lathyrus latifolius,perennial pea
LASY,Lathyrus sylvestris,flat pea
LEGR,Ledum groenlandicum,bog Labrador tea
LEOR,Leersia oryzoides,rice cutgrass
LEVI2,Leersia virginica,whitegrass
LECU2,Lens culinaris,lentil
LEBA,Lepidium barnebyanum,Barneby's pepperweed
LEOS,Lepidium ostleri,Ostler's pepperweed
LEPA17,Lepidium papilliferum,Idaho pepperweed
LEDU,Leptochloa dubia,green sprangletop
LEBI2,Lespedeza bicolor,shrub lespedeza
LECA8,Lespedeza capitata,roundhead lespedeza
LECU,Lespedeza cuneata,sericea lespedeza
LETH4,Lespedeza thunbergii,Thunberg's lespedeza
LERU4,Lesquerella rubicundula,tum bladderpod
LERE5,Leucaena retusa,littleleaf leadtree
LERE7,Lewisia rediviva,bitter root
LEAN3,Leymus angustus,Altai wildrye
LECI4,Leymus cinereus,basin wildrye
LEMU11,Leymus multicaulis,manystem wildrye
LERA5,Leymus racemosus,mammoth wildrye
LETR5,Leymus triticoides,beardless wildrye
LIPU,Liatris punctata,dotted blazing star
LIPY,Liatris pycnostachya,prairie blazing star
LISI,Ligustrum sinense,Chinese privet
LIPA,Lilium pardalinum,leopard lily
LIBE3,Lindera benzoin,northern spicebush
LIBEB,Lindera benzoin,northern spicebush
LIBEP,Lindera benzoin,northern spicebush
LILE3,Linum lewisii,Lewis flax
LIPE2,Linum perenne,blue flax
LIST2,Liquidambar styraciflua,sweetgum
LITU,Liriodendron tulipifera,tuliptree
LOCA2,Lobelia cardinalis,cardinalflower
LOIN,Lobelia inflata,Indian-tobacco
LOSI,Lobelia siphilitica,great blue lobelia
LOPE,Lolium perenne,perennial ryegrass
LOPEM2,Lolium perenne,Italian ryegrass
LOPEP,Lolium perenne,perennial ryegrass
LODI,Lomatium dissectum,fernleaf biscuitroot
LOGR,Lomatium grayi,Gray's biscuitroot
LONU2,Lomatium nudicaule,barestem biscuitroot
LOTR2,Lomatium triternatum,nineleaf biscuitroot
LOCA7,Lonicera canadensis,American fly honeysuckle
LOIN5,Lonicera involucrata,twinberry honeysuckle
LOCO6,Lotus corniculatus,bird's-foot trefoil
LOCR,Lotus crassifolius,big deervetch
LOUT3,Lotus utahensis,Utah bird's-foot trefoil
LUDE4,Ludwigia decurrens,wingleaf primrose-willow
LUAL22,Lupinus albus,white lupine
LUDEA,Lupinus densiflorus,whitewhorl lupine
LUEL4,Lupinus elegans,elegant lupine
LUNO,Lupinus nootkatensis,Nootka lupine
LUPE3,Lupinus perennis,sundial lupine
LUPO2,Lupinus polyphyllus,bigleaf lupine
LURI,Lupinus rivularis,riverbank lupine
LUSE4,Lupinus sericeus,silky lupine
LYSA2,Lythrum salicaria,purple loosestrife
MABIB,Machaeranthera bigelovii,Bigelow's tansyaster
MACA2,Machaeranthera canescens,hoary tansyaster
MAPO,Maclura pomifera,Osage-orange
MAEL,Madia elegans,common madia
MAGL2,Madia glomerata,mountain tarweed
MAGR3,Madia gracilis,grassy tarweed
MASA,Madia sativa,coast tarweed
MAGR4,Magnolia grandiflora,southern magnolia
MAVI2,Magnolia virginiana,sweetbay
MALUS,Malus Malus,southern crab apple
MAAN3,Malus angustifolia,southern crab apple
MAMA37,Malus mandshurica,Manchurian crab apple
MAIN3,Mangifera indica,mango
MAES,Manihot esculenta,cassava
MEPO3,Medicago polymorpha,burclover
MESA,Medicago sativa,alfalfa
MESAF,Medicago sativa,yellow alfalfa
MENI,Melica nitens,threeflower melicgrass
MESP,Melica spectabilis,purple oniongrass
MEOF,Melilotus officinalis,sweetclover
MEDI,Mentzelia dispersa,bushy blazingstar
MELA2,Mentzelia laevicaulis,smoothstem blazingstar
MIST2,Mimosa strigillosa,powderpuff
MIMA2,Mirabilis macfarlanei,MacFarlane's four o'clock
